"DATE","tmax","tmin","rain","wind","relative_humidity","atm_trans","Kdown_direct","Kdown_diffuse","vpd"
1940-01-01,-4.5,-11.2,0,3.52,0.69,0.65892,6793.2,3416.4,-999
1940-01-02,-5.9,-13.6,0,4.99,0.66,0.7441,9313.2,2257.2,-999
1940-01-03,-3.7,-13.7,0,3.87,0.66,0.74126,9298.8,2271.6,-999
1940-01-04,0.2,-9.5,9e-04,1.82,0.74,0.29056,640.8,3913.2,-999
1940-01-05,2.2,-8.1,0,3.05,0.79,0.55208,3844.8,4845.6,-999
1940-01-06,-4.2,-14.6,0,4.79,0.67,0.74053,9432,2278.8,-999
1940-01-07,-3.5,-13.4,0.0059,2.15,0.81,0.23764,129.6,3646.8,-999
1940-01-08,3.5,-5.6,0.0078,2.01,0.86,0.34034,1411.2,4024.8,-999
1940-01-09,2.6,-7.4,0,2.55,0.76,0.72884,9345.6,2358,-999
1940-01-10,3.1,-11.8,4e-04,1.02,0.83,0.55601,4993.2,3985.2,-999
1940-01-11,2.8,-4.5,6e-04,1.3,0.84,0.26797,543.6,3808.8,-999
1940-01-12,5.3,0.8,0.01,0.76,0.91,0.26239,349.2,3938.4,-999
1940-01-13,3.7,1.7,3e-04,1.17,0.94,0.185,104.4,2937.6,-999
1940-01-14,5.8,1.8,0.0086,2.18,0.99,0.05786,0,957.6,-999
1940-01-15,5.9,-2.6,0,5.54,0.67,0.73079,8974.8,3200.4,-999
1940-01-16,3,-6.2,0,3.83,0.6,0.74252,9932.4,2523.6,-999
1940-01-17,5.4,-4.5,0,3.18,0.7,0.61945,7182,3283.2,-999
1940-01-18,3.1,-10,0,1.41,0.75,0.68245,8395.2,3218.4,-999
1940-01-19,0.4,-13.3,6e-04,4.37,0.66,0.7763,10951.2,2358,-999
1940-01-20,-3.1,-14.5,0,4.38,0.57,0.7625,10828.8,2343.6,-999
1940-01-21,-1.3,-9.7,0,4.78,0.6,0.75886,10839.6,2372.4,-999
1940-01-22,1.4,-8.3,0,4.32,0.59,0.7584,10965.6,2343.6,-999
1940-01-23,-2.6,-5.8,0.0074,2.22,0.74,0.17825,10.8,3142.8,-999
1940-01-24,-0.2,-3.9,0.0106,4.97,0.76,0.66923,7876.8,4060.8,-999
1940-01-25,-3.6,-12,0,4.9,0.67,0.69627,9144,3380.4,-999
1940-01-26,-4.9,-14.5,0,4.34,0.64,0.75486,10630.8,3063.6,-999
1940-01-27,-6.4,-15.7,0,4.72,0.65,0.77571,11613.6,2581.2,-999
1940-01-28,-1.9,-12.6,0,4.42,0.66,0.76291,11289.6,2793.6,-999
1940-01-29,0.9,-14.2,0,2.01,0.74,0.45405,1656,6800.4,-999
1940-01-30,1.6,-7.4,0.0012,1.18,0.81,0.41206,1443.6,6300,-999
1940-01-31,4.3,-6.8,0,2.1,0.8,0.7324,10656,3232.8,-999
1940-02-01,6,-11.2,0,2.19,0.77,0.73964,11480.4,2674.8,-999
1940-02-02,0.9,-9.4,0,4.97,0.71,0.56695,5036.4,5914.8,-999
1940-02-03,0,-13.8,0,5.94,0.61,0.77089,12362.4,2667.6,-999
1940-02-04,7.5,-7.8,0,2.56,0.65,0.47576,3600,5763.6,-999
1940-02-05,9.2,-0.6,3e-04,1.64,0.83,0.53198,4982.4,5587.2,-999
1940-02-06,10.2,1.9,0.0087,2.09,0.93,0.14089,288,2538,-999
1940-02-07,9.3,1.1,0.002,4.1,0.83,0.52297,5472,5119.2,-999
1940-02-08,8.2,-3.6,0,2.9,0.67,0.63891,7466.4,5598,-999
1940-02-09,12.3,-1.2,1e-04,1.75,0.74,0.60329,6962.4,5493.6,-999
1940-02-10,9,2.3,0.0044,1.57,0.95,0.09773,10.8,2026.8,-999
1940-02-11,11,2.2,0.002,5.33,0.72,0.73632,12603.6,2898,-999
1940-02-12,13,-0.9,0,2.56,0.6,0.46889,2750.4,7218,-999
1940-02-13,12.9,4.3,0.0012,2.49,0.86,0.27048,2484,3322.8,-999
1940-02-14,10.1,-1.7,0.0055,7.41,0.71,0.73112,12628.8,3222,-999
1940-02-15,5.6,-6.4,0,6.23,0.41,0.75998,13928.4,2710.8,-999
1940-02-16,8.8,-3.5,0,1.84,0.41,0.70192,11491.2,4028.4,-999
1940-02-17,7,-1.5,0,1.34,0.46,0.53657,5166,6814.8,-999
1940-02-18,2.5,-0.7,0.0156,3.36,0.81,0.06131,0,1382.4,-999
1940-02-19,6.2,2,0.0105,1.66,0.98,0.12331,122.4,2685.6,-999
1940-02-20,5.2,3.2,0.0052,2.57,0.94,0.21651,532.8,4446,-999
1940-02-21,5,-0.9,4e-04,3.38,0.72,0.73392,13525.2,3517.2,-999
1940-02-22,3,-1.4,0,3.39,0.61,0.59123,7642.8,6220.8,-999
1940-02-23,6,-2.9,0,3.66,0.55,0.73906,13604.4,3895.2,-999
1940-02-24,7.4,-1.4,0.0012,2.13,0.68,0.31289,1249.2,6231.6,-999
1940-02-25,4.9,0,0.0014,3.47,0.78,0.64988,9766.8,5922,-999
1940-02-26,7.1,-4.7,0,2.75,0.39,0.76521,15822,2829.6,-999
1940-02-27,4.3,-0.2,0.0063,2.52,0.74,0.14117,54,3420,-999
1940-02-28,11.3,2.9,0.0014,3.33,0.82,0.61625,10173.6,5137.2,-999
1940-02-29,10.9,-0.3,4e-04,1.88,0.72,0.64301,9727.2,6400.8,-999
1940-03-01,19.4,1.8,0,1.71,0.7,0.72541,15494.4,2872.8,-999
1940-03-02,12.3,4.1,0.0037,1.98,0.95,0.0793,86.4,1940.4,-999
1940-03-03,13.9,4.2,0.0101,1.73,0.99,0.09573,100.8,2368.8,-999
1940-03-04,12.4,6.9,0.0036,4.33,0.85,0.55484,7664.4,6782.4,-999
1940-03-05,10.3,1.9,0,4.65,0.65,0.72963,15843.6,3330,-999
1940-03-06,7.2,0.6,0,4.2,0.58,0.72164,14652,4485.6,-999
1940-03-07,11.6,-0.3,0,3.3,0.57,0.74539,16596,3351.6,-999
1940-03-08,10.4,-0.8,1e-04,2.11,0.6,0.63953,11581.2,5688,-999
1940-03-09,7,-0.4,0,4.73,0.56,0.70705,14320.8,4942.8,-999
1940-03-10,10.4,-0.2,0,4.17,0.49,0.7502,17445.6,3175.2,-999
1940-03-11,10,1,0.0049,1.89,0.7,0.29108,3330,4741.2,-999
1940-03-12,5.8,-0.1,0.0102,1.83,0.74,0.1547,424.8,3902.4,-999
1940-03-13,2.6,-0.3,0.0023,1.73,0.86,0.1521,421.2,3870,-999
1940-03-14,4.7,1.4,0.0212,1.61,0.98,0.06554,3.6,1861.2,-999
1940-03-15,5.3,-1.7,1e-04,5.45,0.6,0.68198,13298.4,6271.2,-999
1940-03-16,12.1,-1,0,3.97,0.52,0.71376,15847.2,4806,-999
1940-03-17,19.9,-0.4,0,2.5,0.55,0.74762,18504,3308.4,-999
1940-03-18,19.3,4.3,9e-04,2.93,0.66,0.62478,14011.2,4366.8,-999
1940-03-19,14.8,7.1,0.0085,4.01,0.72,0.72378,17946,3517.2,-999
1940-03-20,16.4,1.1,0,2.64,0.58,0.59566,9378,8427.6,-999
1940-03-21,14.1,-0.6,0,2.4,0.52,0.72265,17553.6,4219.2,-999
1940-03-22,9.8,3.7,0,3.96,0.58,0.71336,17226,4435.2,-999
1940-03-23,6.8,-2.4,0,4.15,0.42,0.6547,13309.2,6724.8,-999
1940-03-24,3,-3,0.0027,2.3,0.44,0.2467,1011.6,6595.2,-999
1940-03-25,3,-4.3,6e-04,3.82,0.45,0.78161,20462.4,3819.6,-999
1940-03-26,9.4,-5,0,2.89,0.27,0.76042,19936.8,3862.8,-999
1940-03-27,17.6,-0.4,0,3.01,0.54,0.71982,18410.4,4284,-999
1940-03-28,17,2.4,0,2.63,0.79,0.4165,6062.4,7164,-999
1940-03-29,16.6,10.9,0.0033,1.76,0.94,0.23772,972,6631.2,-999
1940-03-30,17.4,10.6,0.0127,1.89,0.98,0.07992,57.6,2516.4,-999
1940-03-31,20.9,5.8,1e-04,5.59,0.64,0.65968,16549.2,4845.6,-999
1940-04-01,20.5,11.5,0,4.1,0.64,0.51661,8276.4,8593.2,-999
1940-04-02,21.7,10.4,4e-04,1.85,0.7,0.62846,15498,5162.4,-999
1940-04-03,21.7,11.9,2e-04,2.31,0.85,0.3083,2451.6,7750.8,-999
1940-04-04,24.3,13.8,7e-04,3.47,0.77,0.59054,13374,6296.4,-999
1940-04-05,19.1,6.7,0,5.44,0.51,0.66773,16531.2,5853.6,-999
1940-04-06,15.4,0,0,2.4,0.49,0.77355,22172.4,3924,-999
1940-04-07,14.6,3,0,2.31,0.65,0.49589,7959.6,8874,-999
1940-04-08,20.7,10,0.0187,2.43,0.91,0.17371,810,5122.8,-999
1940-04-09,14.2,6.8,1e-04,4.58,0.71,0.38011,4071.6,8989.2,-999
1940-04-10,16.7,2.9,0,2.46,0.6,0.74336,21520.8,4172.4,-999
1940-04-11,19.7,6.2,0,3.07,0.69,0.4926,10414.8,6710.4,-999
1940-04-12,16.2,1.2,0.0177,4.49,0.79,0.19769,1702.8,5209.2,-999
